Years,Country,HappinessRank,HappinessScore,Economy,Family,Health,Freedom,Generosity,Trust,DystopiaResidual,CountryCode,Region,IncomeGroup,OECD
2015,afghanistan,153,3.58,0.32,0.3,0.3,0.23,0.37,0.1,1.95,AFG,South Asia,Low income,0
2015,angola,137,4.03,0.76,0.86,0.17,0.1,0.12,0.07,1.95,AGO,Sub-Saharan Africa,Lower middle income,0
2015,albania,95,4.96,0.88,0.8,0.81,0.36,0.14,0.06,1.9,ALB,Europe & Central Asia,Upper middle income,0
2015,united arab emirates,20,6.9,1.43,1.13,0.81,0.64,0.26,0.39,2.25,ARE,Middle East & North Africa,High income,0
2015,argentina,30,6.57,1.05,1.25,0.79,0.45,0.11,0.08,2.84,ARG,Latin America & Caribbean,Upper middle income,0
2015,armenia,127,4.35,0.77,0.78,0.73,0.2,0.08,0.04,1.76,ARM,Europe & Central Asia,Upper middle income,0
2015,australia,10,7.28,1.33,1.31,0.93,0.65,0.44,0.36,2.27,AUS,East Asia & Pacific,High income,1
2015,austria,13,7.2,1.34,1.3,0.89,0.62,0.33,0.19,2.53,AUT,Europe & Central Asia,High income,1
2015,azerbaijan,80,5.21,1.02,0.94,0.64,0.37,0.08,0.16,2.0,AZE,Europe & Central Asia,Upper middle income,0
2015,burundi,157,2.91,0.02,0.42,0.22,0.12,0.2,0.1,1.83,BDI,Sub-Saharan Africa,Low income,0
2015,belgium,19,6.94,1.31,1.29,0.9,0.58,0.22,0.23,2.41,BEL,Europe & Central Asia,High income,1
2015,benin,155,3.34,0.29,0.35,0.32,0.48,0.18,0.08,1.63,BEN,Sub-Saharan Africa,Low income,0
2015,burkina faso,152,3.59,0.26,0.85,0.27,0.39,0.22,0.13,1.46,BFA,Sub-Saharan Africa,Low income,0
2015,bangladesh,109,4.69,0.4,0.43,0.6,0.41,0.21,0.13,2.52,BGD,South Asia,Lower middle income,0
2015,bulgaria,134,4.22,1.01,1.11,0.77,0.31,0.12,0.01,0.9,BGR,Europe & Central Asia,Upper middle income,0
2015,bahrain,49,5.96,1.32,1.22,0.75,0.45,0.17,0.31,1.74,BHR,Middle East & North Africa,High income,0
2015,bosnia and herzegovina,96,4.95,0.83,0.92,0.79,0.09,0.25,0.0,2.06,BIH,Europe & Central Asia,Upper middle income,0
2015,belarus,59,5.81,1.03,1.23,0.74,0.38,0.11,0.19,2.13,BLR,Europe & Central Asia,Upper middle income,0
2015,bolivia,51,5.89,0.68,0.98,0.54,0.57,0.21,0.09,2.82,BOL,Latin America & Caribbean,Lower middle income,0
2015,brazil,16,6.98,0.98,1.23,0.7,0.49,0.15,0.18,3.26,BRA,Latin America & Caribbean,Upper middle income,0
2015,bhutan,79,5.25,0.77,1.1,0.57,0.53,0.48,0.15,1.64,BTN,South Asia,Lower middle income,0
2015,botswana,128,4.33,0.99,1.1,0.05,0.49,0.1,0.12,1.46,BWA,Sub-Saharan Africa,Upper middle income,0
2015,central african republic,148,3.68,0.08,0.0,0.07,0.49,0.24,0.08,2.72,CAF,Sub-Saharan Africa,Low income,0
2015,canada,5,7.43,1.33,1.32,0.91,0.63,0.46,0.33,2.45,CAN,North America,High income,1
2015,switzerland,1,7.59,1.4,1.35,0.94,0.67,0.3,0.42,2.52,CHE,Europe & Central Asia,High income,1
2015,chile,27,6.67,1.11,1.12,0.86,0.44,0.33,0.13,2.68,CHL,Latin America & Caribbean,High income,1
2015,china,84,5.14,0.89,0.95,0.82,0.52,0.08,0.03,1.86,CHN,East Asia & Pacific,Upper middle income,0
2015,c么te d'ivoire,151,3.66,0.47,0.77,0.15,0.47,0.2,0.18,1.42,CIV,Sub-Saharan Africa,Lower middle income,0
2015,cameroon,133,4.25,0.42,0.89,0.23,0.49,0.21,0.06,1.95,CMR,Sub-Saharan Africa,Lower middle income,0
2015,dem. rep. congo,120,4.52,0.0,1.0,0.1,0.23,0.25,0.08,2.87,COD,Sub-Saharan Africa,Low income,0
2015,congo,139,3.99,0.68,0.66,0.31,0.41,0.12,0.12,1.68,COG,Sub-Saharan Africa,Lower middle income,0
2015,colombia,33,6.48,0.92,1.24,0.69,0.53,0.18,0.05,2.86,COL,Latin America & Caribbean,Upper middle income,0
2015,comoros,140,3.96,0.24,0.79,0.36,0.23,0.17,0.2,1.96,COM,Sub-Saharan Africa,Lower middle income,0
2015,costa rica,12,7.23,0.96,1.24,0.86,0.63,0.25,0.11,3.18,CRI,Latin America & Caribbean,Upper middle income,0
2015,cyprus,67,5.69,1.21,0.89,0.92,0.41,0.31,0.06,1.89,CYP,Europe & Central Asia,High income,0
2015,czech republic,31,6.51,1.18,1.21,0.84,0.46,0.11,0.03,2.68,CZE,Europe & Central Asia,High income,1
2015,germany,26,6.75,1.33,1.3,0.89,0.61,0.28,0.22,2.12,DEU,Europe & Central Asia,High income,1
2015,djibouti,126,4.37,0.44,0.59,0.36,0.46,0.18,0.28,2.05,DJI,Middle East & North Africa,Lower middle income,0
2015,denmark,3,7.53,1.33,1.36,0.87,0.65,0.34,0.48,2.49,DNK,Europe & Central Asia,High income,1
2015,dominican republic,98,4.89,0.9,1.17,0.67,0.58,0.22,0.14,1.21,DOM,Latin America & Caribbean,Upper middle income,0
2015,algeria,68,5.61,0.94,1.08,0.62,0.29,0.08,0.17,2.43,DZA,Middle East & North Africa,Upper middle income,0
2015,ecuador,48,5.98,0.86,1.0,0.79,0.49,0.12,0.18,2.54,ECU,Latin America & Caribbean,Upper middle income,0
2015,egypt,135,4.19,0.88,0.75,0.62,0.17,0.11,0.06,1.6,EGY,Middle East & North Africa,Lower middle income,0
2015,spain,36,6.33,1.23,1.31,0.96,0.46,0.18,0.06,2.12,ESP,Europe & Central Asia,High income,1
2015,estonia,73,5.43,1.15,1.23,0.77,0.45,0.09,0.15,1.59,EST,Europe & Central Asia,High income,1
2015,ethiopia,122,4.51,0.19,0.6,0.44,0.43,0.24,0.15,2.45,ETH,Sub-Saharan Africa,Low income,0
2015,finland,6,7.41,1.29,1.32,0.89,0.64,0.23,0.41,2.62,FIN,Europe & Central Asia,High income,1
2015,france,29,6.58,1.28,1.26,0.95,0.55,0.12,0.21,2.21,FRA,Europe & Central Asia,High income,1
2015,gabon,143,3.9,1.06,0.91,0.43,0.32,0.07,0.11,1.0,GAB,Sub-Saharan Africa,Upper middle income,0
2015,united kingdom,21,6.87,1.27,1.29,0.91,0.6,0.52,0.32,1.97,GBR,Europe & Central Asia,High income,1
2015,georgia,130,4.3,0.74,0.39,0.73,0.41,0.06,0.38,1.6,GEO,Europe & Central Asia,Upper middle income,0
2015,ghana,114,4.63,0.55,0.68,0.4,0.42,0.23,0.04,2.31,GHA,Sub-Saharan Africa,Lower middle income,0
2015,guinea,150,3.66,0.17,0.46,0.24,0.38,0.29,0.12,1.99,GIN,Sub-Saharan Africa,Low income,0
2015,greece,102,4.86,1.15,0.93,0.88,0.08,0.0,0.01,1.8,GRC,Europe & Central Asia,High income,1
2015,guatemala,43,6.12,0.75,1.04,0.64,0.58,0.27,0.09,2.74,GTM,Latin America & Caribbean,Upper middle income,0
2015,"hong kong sar, china",72,5.47,1.39,1.06,1.01,0.6,0.39,0.37,0.65,HKG,East Asia & Pacific,High income,0
2015,honduras,105,4.79,0.6,0.95,0.7,0.4,0.23,0.07,1.84,HND,Latin America & Caribbean,Lower middle income,0
2015,croatia,62,5.76,1.08,0.8,0.79,0.26,0.05,0.02,2.75,HRV,Europe & Central Asia,High income,0
2015,haiti,119,4.52,0.27,0.74,0.39,0.24,0.46,0.17,2.24,HTI,Latin America & Caribbean,Low income,0
2015,hungary,104,4.8,1.12,1.2,0.76,0.32,0.13,0.03,1.24,HUN,Europe & Central Asia,High income,1
2015,indonesia,74,5.4,0.83,1.09,0.64,0.47,0.52,0.0,1.86,IDN,East Asia & Pacific,Lower middle income,0
2015,india,117,4.57,0.64,0.38,0.52,0.4,0.26,0.08,2.28,IND,South Asia,Lower middle income,0
2015,ireland,18,6.94,1.34,1.37,0.9,0.62,0.46,0.29,1.98,IRL,Europe & Central Asia,High income,1
2015,iran,110,4.69,1.01,0.54,0.7,0.3,0.38,0.06,1.69,IRN,Middle East & North Africa,Upper middle income,0
2015,iraq,112,4.68,0.99,0.82,0.6,0.0,0.18,0.14,1.95,IRQ,Middle East & North Africa,Upper middle income,0
2015,iceland,2,7.56,1.3,1.4,0.95,0.63,0.44,0.14,2.7,ISL,Europe & Central Asia,High income,0
2015,israel,11,7.28,1.23,1.22,0.91,0.41,0.33,0.08,3.09,ISR,Middle East & North Africa,High income,1
2015,italy,50,5.95,1.25,1.2,0.95,0.26,0.23,0.03,2.03,ITA,Europe & Central Asia,High income,1
2015,jamaica,65,5.71,0.81,1.15,0.69,0.5,0.21,0.02,2.32,JAM,Latin America & Caribbean,Upper middle income,0
2015,jordan,82,5.19,0.9,1.05,0.7,0.41,0.11,0.14,1.88,JOR,Middle East & North Africa,Upper middle income,0
2015,japan,46,5.99,1.27,1.26,0.99,0.5,0.11,0.18,1.68,JPN,East Asia & Pacific,High income,1
2015,kazakhstan,54,5.86,1.12,1.12,0.64,0.52,0.12,0.08,2.25,KAZ,Europe & Central Asia,Upper middle income,0
2015,kenya,125,4.42,0.36,1.0,0.41,0.42,0.38,0.06,1.79,KEN,Sub-Saharan Africa,Lower middle income,0
2015,kyrgyz republic,77,5.29,0.47,1.15,0.65,0.43,0.3,0.04,2.23,KGZ,Europe & Central Asia,Lower middle income,0
2015,cambodia,145,3.82,0.46,0.63,0.61,0.66,0.4,0.07,0.98,KHM,East Asia & Pacific,Lower middle income,0
2015,korea,47,5.98,1.24,0.96,0.97,0.33,0.19,0.08,2.22,KOR,East Asia & Pacific,High income,1
2015,kuwait,39,6.3,1.55,1.17,0.72,0.55,0.16,0.26,1.88,KWT,Middle East & North Africa,High income,0
2015,lao pdr,99,4.88,0.59,0.74,0.55,0.6,0.42,0.24,1.74,LAO,East Asia & Pacific,Lower middle income,0
2015,lebanon,103,4.84,1.03,0.8,0.84,0.34,0.22,0.05,1.57,LBN,Middle East & North Africa,Upper middle income,0
2015,liberia,116,4.57,0.07,0.79,0.34,0.29,0.24,0.06,2.78,LBR,Sub-Saharan Africa,Low income,0
2015,libya,63,5.75,1.13,1.12,0.7,0.42,0.18,0.11,2.09,LBY,Middle East & North Africa,Upper middle income,0
2015,sri lanka,132,4.27,0.84,1.02,0.71,0.54,0.41,0.09,0.67,LKA,South Asia,Upper middle income,0
2015,lesotho,97,4.9,0.38,1.04,0.08,0.32,0.16,0.13,2.8,LSO,Sub-Saharan Africa,Lower middle income,0
2015,lithuania,56,5.83,1.15,1.26,0.73,0.21,0.03,0.01,2.45,LTU,Europe & Central Asia,High income,1
2015,luxembourg,17,6.95,1.56,1.22,0.92,0.62,0.28,0.38,1.97,LUX,Europe & Central Asia,High income,1
2015,latvia,89,5.1,1.11,1.1,0.72,0.3,0.18,0.06,1.62,LVA,Europe & Central Asia,High income,1
2015,morocco,92,5.01,0.73,0.64,0.61,0.42,0.07,0.09,2.45,MAR,Middle East & North Africa,Lower middle income,0
2015,moldova,52,5.89,0.59,1.02,0.62,0.33,0.21,0.02,3.11,MDA,Europe & Central Asia,Lower middle income,0
2015,madagascar,147,3.68,0.21,0.67,0.47,0.19,0.21,0.08,1.85,MDG,Sub-Saharan Africa,Low income,0
2015,mexico,14,7.19,1.02,0.91,0.81,0.48,0.14,0.21,3.6,MEX,Latin America & Caribbean,Upper middle income,1
2015,north macedonia,93,5.01,0.92,1.0,0.74,0.33,0.22,0.05,1.74,MKD,Europe & Central Asia,Upper middle income,0
2015,mali,138,4.0,0.26,1.04,0.21,0.39,0.19,0.12,1.79,MLI,Sub-Saharan Africa,Low income,0
2015,malta,37,6.3,1.21,1.3,0.89,0.6,0.52,0.14,1.65,MLT,Middle East & North Africa,High income,0
2015,myanmar,129,4.31,0.27,0.71,0.48,0.44,0.8,0.19,1.42,MMR,East Asia & Pacific,Lower middle income,0
2015,montenegro,82,5.19,0.97,0.91,0.73,0.18,0.16,0.14,2.1,MNE,Europe & Central Asia,Upper middle income,0
2015,mongolia,100,4.87,0.83,1.3,0.6,0.44,0.33,0.03,1.35,MNG,East Asia & Pacific,Lower middle income,0
2015,mozambique,94,4.97,0.08,1.03,0.09,0.34,0.22,0.16,3.05,MOZ,Sub-Saharan Africa,Low income,0
2015,mauritania,124,4.44,0.45,0.87,0.36,0.24,0.22,0.17,2.12,MRT,Sub-Saharan Africa,Lower middle income,0
2015,mauritius,71,5.48,1.01,0.99,0.71,0.56,0.38,0.08,1.76,MUS,Sub-Saharan Africa,Upper middle income,0
2015,malawi,131,4.29,0.02,0.41,0.23,0.43,0.33,0.07,2.81,MWI,Sub-Saharan Africa,Low income,0
2015,malaysia,61,5.77,1.12,1.07,0.72,0.53,0.33,0.11,1.89,MYS,East Asia & Pacific,Upper middle income,0
2015,niger,144,3.85,0.07,0.77,0.3,0.48,0.19,0.16,1.88,NER,Sub-Saharan Africa,Low income,0
2015,nigeria,78,5.27,0.65,0.9,0.16,0.34,0.27,0.04,2.89,NGA,Sub-Saharan Africa,Lower middle income,0
2015,nicaragua,57,5.83,0.59,1.14,0.74,0.55,0.28,0.19,2.32,NIC,Latin America & Caribbean,Lower middle income,0
2015,netherlands,7,7.38,1.33,1.28,0.89,0.62,0.48,0.32,2.47,NLD,Europe & Central Asia,High income,1
2015,norway,4,7.52,1.46,1.33,0.89,0.67,0.35,0.37,2.47,NOR,Europe & Central Asia,High income,1
2015,nepal,121,4.51,0.36,0.86,0.57,0.38,0.32,0.06,1.96,NPL,South Asia,Low income,0
2015,new zealand,9,7.29,1.25,1.32,0.91,0.64,0.48,0.43,2.26,NZL,East Asia & Pacific,High income,1
2015,oman,22,6.85,1.36,1.08,0.76,0.63,0.22,0.33,2.47,OMN,Middle East & North Africa,High income,0
2015,pakistan,81,5.19,0.6,0.41,0.51,0.12,0.34,0.1,3.11,PAK,South Asia,Lower middle income,0
2015,panama,25,6.79,1.06,1.2,0.8,0.54,0.24,0.09,2.85,PAN,Latin America & Caribbean,High income,0
2015,peru,58,5.82,0.9,0.97,0.73,0.41,0.15,0.06,2.59,PER,Latin America & Caribbean,Upper middle income,0
2015,philippines,90,5.07,0.71,1.04,0.58,0.63,0.25,0.12,1.75,PHL,East Asia & Pacific,Lower middle income,0
2015,poland,60,5.79,1.13,1.28,0.78,0.53,0.17,0.04,1.87,POL,Europe & Central Asia,High income,1
2015,portugal,88,5.1,1.16,1.14,0.88,0.51,0.14,0.01,1.26,PRT,Europe & Central Asia,High income,1
2015,paraguay,53,5.88,0.76,1.3,0.66,0.54,0.34,0.08,2.19,PRY,Latin America & Caribbean,Upper middle income,0
2015,qatar,28,6.61,1.69,1.08,0.8,0.64,0.33,0.52,1.56,QAT,Middle East & North Africa,High income,0
2015,romania,86,5.12,1.04,0.89,0.77,0.35,0.14,0.01,1.93,ROU,Europe & Central Asia,Upper middle income,0
2015,russia,64,5.72,1.14,1.24,0.67,0.37,0.0,0.03,2.27,RUS,Europe & Central Asia,Upper middle income,0
2015,rwanda,154,3.47,0.22,0.77,0.43,0.59,0.23,0.55,0.67,RWA,Sub-Saharan Africa,Low income,0
2015,saudi arabia,35,6.41,1.4,1.08,0.72,0.31,0.14,0.33,2.44,SAU,Middle East & North Africa,High income,0
2015,sudan,118,4.55,0.52,1.01,0.37,0.1,0.19,0.15,2.21,SDN,Sub-Saharan Africa,Lower middle income,0
2015,senegal,142,3.9,0.36,0.98,0.44,0.37,0.21,0.11,1.44,SEN,Sub-Saharan Africa,Lower middle income,0
2015,singapore,24,6.8,1.52,1.02,1.03,0.54,0.31,0.49,1.89,SGP,East Asia & Pacific,High income,0
2015,sierra leone,123,4.51,0.33,0.96,0.0,0.41,0.21,0.09,2.51,SLE,Sub-Saharan Africa,Low income,0
2015,el salvador,42,6.13,0.76,1.03,0.68,0.4,0.11,0.12,3.04,SLV,Latin America & Caribbean,Lower middle income,0
2015,serbia,87,5.12,0.92,1.01,0.75,0.2,0.19,0.03,2.03,SRB,Europe & Central Asia,Upper middle income,0
2015,suriname,40,6.27,1.0,0.97,0.61,0.6,0.17,0.14,2.79,SUR,Latin America & Caribbean,Upper middle income,0
2015,slovak republic,45,6.0,1.17,1.27,0.79,0.32,0.17,0.03,2.25,SVK,Europe & Central Asia,High income,1
2015,slovenia,55,5.85,1.18,1.27,0.87,0.61,0.25,0.04,1.62,SVN,Europe & Central Asia,High income,1
2015,sweden,8,7.36,1.33,1.29,0.91,0.66,0.36,0.44,2.37,SWE,Europe & Central Asia,High income,1
2015,eswatini,101,4.87,0.71,1.07,0.08,0.31,0.18,0.03,2.49,SWZ,Sub-Saharan Africa,Lower middle income,0
2015,syrian arab republic,156,3.01,0.66,0.47,0.72,0.16,0.47,0.19,0.33,SYR,Middle East & North Africa,Low income,0
2015,chad,149,3.67,0.34,0.76,0.15,0.24,0.18,0.05,1.94,TCD,Sub-Saharan Africa,Low income,0
2015,togo,158,2.84,0.21,0.14,0.28,0.36,0.17,0.11,1.57,TGO,Sub-Saharan Africa,Low income,0
2015,thailand,34,6.46,0.97,1.27,0.74,0.56,0.58,0.03,2.32,THA,East Asia & Pacific,Upper middle income,0
2015,tajikistan,106,4.79,0.39,0.86,0.57,0.47,0.23,0.15,2.11,TJK,Europe & Central Asia,Low income,0
2015,turkmenistan,70,5.55,0.96,1.23,0.54,0.48,0.17,0.31,1.87,TKM,Europe & Central Asia,Upper middle income,0
2015,trinidad and tobago,41,6.17,1.21,1.18,0.61,0.56,0.32,0.01,2.27,TTO,Latin America & Caribbean,High income,0
2015,tunisia,107,4.74,0.88,0.6,0.74,0.26,0.06,0.06,2.12,TUN,Middle East & North Africa,Lower middle income,0
2015,turkey,76,5.33,1.06,0.95,0.73,0.23,0.12,0.16,2.09,TUR,Europe & Central Asia,Upper middle income,1
2015,tanzania,146,3.78,0.29,1.0,0.38,0.33,0.34,0.06,1.38,TZA,Sub-Saharan Africa,Low income,0
2015,uganda,141,3.93,0.21,1.13,0.34,0.46,0.29,0.07,1.43,UGA,Sub-Saharan Africa,Low income,0
2015,ukraine,111,4.68,0.8,1.2,0.67,0.25,0.15,0.03,1.57,UKR,Europe & Central Asia,Lower middle income,0
2015,uruguay,32,6.49,1.06,1.21,0.81,0.6,0.23,0.25,2.32,URY,Latin America & Caribbean,High income,0
2015,united states,15,7.12,1.39,1.25,0.86,0.55,0.4,0.16,2.51,USA,North America,High income,1
2015,uzbekistan,44,6.0,0.63,1.34,0.6,0.66,0.23,0.31,2.24,UZB,Europe & Central Asia,Lower middle income,0
2015,venezuela,23,6.81,1.04,1.26,0.72,0.43,0.06,0.11,3.19,VEN,Latin America & Caribbean,Upper middle income,0
2015,vietnam,75,5.36,0.63,0.91,0.75,0.59,0.17,0.1,2.2,VNM,East Asia & Pacific,Lower middle income,0
2015,kosovo,69,5.59,0.8,0.81,0.63,0.25,0.28,0.05,2.77,XKX,Europe & Central Asia,Upper middle income,0
2015,yemen,136,4.08,0.55,0.68,0.4,0.36,0.09,0.08,1.92,YEM,Middle East & North Africa,Low income,0
2015,south africa,113,4.64,0.92,1.18,0.28,0.33,0.12,0.09,1.72,ZAF,Sub-Saharan Africa,Upper middle income,0
2015,zambia,85,5.13,0.47,0.92,0.3,0.49,0.2,0.12,2.63,ZMB,Sub-Saharan Africa,Lower middle income,0
2015,zimbabwe,115,4.61,0.27,1.03,0.33,0.26,0.19,0.08,2.44,ZWE,Sub-Saharan Africa,Lower middle income,0
2016,afghanistan,154,3.36,0.38,0.11,0.17,0.16,0.31,0.07,2.15,AFG,South Asia,Low income,0
2016,angola,141,3.87,0.85,0.66,0.05,0.01,0.12,0.08,2.09,AGO,Sub-Saharan Africa,Lower middle income,0
2016,albania,109,4.66,0.96,0.5,0.73,0.32,0.17,0.05,1.93,ALB,Europe & Central Asia,Upper middle income,0
2016,united arab emirates,28,6.57,1.57,0.87,0.73,0.56,0.27,0.36,2.22,ARE,Middle East & North Africa,High income,0
2016,argentina,26,6.65,1.15,1.07,0.7,0.42,0.11,0.07,3.13,ARG,Latin America & Caribbean,Upper middle income,0
2016,armenia,121,4.36,0.86,0.62,0.64,0.14,0.08,0.04,1.98,ARM,Europe & Central Asia,Upper middle income,0
2016,australia,9,7.31,1.44,1.1,0.85,0.57,0.47,0.32,2.55,AUS,East Asia & Pacific,High income,1
2016,austria,12,7.12,1.45,1.08,0.81,0.54,0.33,0.21,2.69,AUT,Europe & Central Asia,High income,1
2016,azerbaijan,81,5.29,1.12,0.76,0.55,0.35,0.06,0.18,2.27,AZE,Europe & Central Asia,Upper middle income,0
2016,burundi,157,2.91,0.07,0.23,0.16,0.04,0.2,0.09,2.1,BDI,Sub-Saharan Africa,Low income,0
2016,belgium,18,6.93,1.43,1.05,0.82,0.51,0.24,0.26,2.61,BEL,Europe & Central Asia,High income,1
2016,benin,153,3.48,0.39,0.1,0.21,0.4,0.2,0.07,2.11,BEN,Sub-Saharan Africa,Low income,0
2016,burkina faso,145,3.74,0.32,0.63,0.21,0.33,0.24,0.13,1.87,BFA,Sub-Saharan Africa,Low income,0
2016,bangladesh,110,4.64,0.54,0.25,0.53,0.4,0.19,0.13,2.61,BGD,South Asia,Lower middle income,0
2016,bulgaria,129,4.22,1.11,0.93,0.68,0.21,0.13,0.01,1.15,BGR,Europe & Central Asia,Upper middle income,0
2016,bahrain,42,6.22,1.44,0.94,0.66,0.47,0.17,0.26,2.27,BHR,Middle East & North Africa,High income,0
2016,bosnia and herzegovina,87,5.16,0.93,0.64,0.71,0.1,0.3,0.0,2.48,BIH,Europe & Central Asia,Upper middle income,0
2016,belarus,61,5.8,1.13,1.05,0.63,0.29,0.14,0.17,2.39,BLR,Europe & Central Asia,Upper middle income,0
2016,belize,52,5.96,0.88,0.69,0.46,0.51,0.24,0.11,3.08,BLZ,Latin America & Caribbean,Upper middle income,0
2016,bolivia,59,5.82,0.79,0.84,0.47,0.51,0.22,0.08,2.92,BOL,Latin America & Caribbean,Lower middle income,0
2016,brazil,17,6.95,1.09,1.04,0.61,0.4,0.16,0.14,3.51,BRA,Latin America & Caribbean,Upper middle income,0
2016,bhutan,84,5.2,0.85,0.91,0.5,0.46,0.49,0.16,1.83,BTN,South Asia,Lower middle income,0
2016,botswana,137,3.97,1.09,0.89,0.35,0.44,0.12,0.11,0.97,BWA,Sub-Saharan Africa,Upper middle income,0
2016,canada,6,7.4,1.44,1.1,0.83,0.57,0.45,0.31,2.7,CAN,North America,High income,1
2016,switzerland,2,7.51,1.53,1.15,0.86,0.59,0.28,0.41,2.69,CHE,Europe & Central Asia,High income,1
2016,chile,24,6.71,1.22,0.91,0.82,0.38,0.32,0.11,2.96,CHL,Latin America & Caribbean,High income,1
2016,china,83,5.25,1.03,0.79,0.74,0.44,0.05,0.03,2.17,CHN,East Asia & Pacific,Upper middle income,0
2016,c么te d'ivoire,139,3.92,0.56,0.58,0.04,0.41,0.2,0.16,1.97,CIV,Sub-Saharan Africa,Lower middle income,0
2016,cameroon,114,4.51,0.52,0.63,0.13,0.43,0.23,0.06,2.52,CMR,Sub-Saharan Africa,Lower middle income,0
2016,dem. rep. congo,125,4.27,0.06,0.81,0.19,0.16,0.25,0.06,2.75,COD,Sub-Saharan Africa,Low income,0
2016,congo,127,4.24,0.77,0.48,0.28,0.38,0.12,0.1,2.11,COG,Sub-Saharan Africa,Lower middle income,0
2016,colombia,31,6.48,1.03,1.02,0.6,0.45,0.16,0.05,3.17,COL,Latin America & Caribbean,Upper middle income,0
2016,comoros,138,3.96,0.28,0.6,0.3,0.15,0.18,0.18,2.26,COM,Sub-Saharan Africa,Lower middle income,0
2016,costa rica,14,7.09,1.07,1.02,0.76,0.55,0.23,0.11,3.35,CRI,Latin America & Caribbean,Upper middle income,0
